gene_id,gene_name,D13,D27,D33,S31,S44,S50,S52,S9
ENSMUSG00000000001,Gnai3,4129,3447,4172,2653,3583,3712,3744,4140
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,975,731,1297.9999999999998,369,798,783,895,1146.999
ENSMUSG00000000031,NA,0,17,22,0,0,0,29,0
ENSMUSG00000000037,Scml2,100,89,48,29,48,110,35,34
ENSMUSG00000000049,Apoh,0,0,0,0,0,0,0,0
ENSMUSG00000000056,Narf,1446,1888,1145,1483,2186,1039,2323,1224
ENSMUSG00000000058,Cav2,99,29,39,141,44,134,79,62
ENSMUSG00000000078,Klf6,5360,1140,6639,2491,1874,2468,4249,5552
ENSMUSG00000000085,Scmh1,508,592.001,355,403,526,435,461.00000000000006,504.99999999999994
ENSMUSG00000000088,Cox5a,2477,2076,2808,2655,2285,2646,2492,2670.9990000000003
ENSMUSG00000000093,Tbx2,9,0,6,0,0,27,0,9
ENSMUSG00000000094,Tbx4,0,0,0,0,0,0,0,5
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,0,0,0,0,0,0,0,9
ENSMUSG00000000125,Wnt3,0,0,0,0,14,0,0,0
ENSMUSG00000000126,Wnt9a,0,0,0,0,0,0,0,0
ENSMUSG00000000127,Fer,430,929,351,452,735.999,257,413,375
ENSMUSG00000000131,Xpo6,2223,656,2058,1601.999,1340,1742.0010000000002,1516.9999999999998,2270.001
ENSMUSG00000000134,Tfe3,1140.9999999999998,273,1161,728,514.999,716.999,940,1414.999
ENSMUSG00000000142,Axin2,58,0,31,113,0,0,32,36
ENSMUSG00000000148,Brat1,348,309,203.999,516,369,140,209,350.999
ENSMUSG00000000149,Gna12,1161,1237,1118,1181.921,1190,1483,1309,1293
ENSMUSG00000000154,Slc22a18,22,0,14,0,0,0,0,16
ENSMUSG00000000157,Itgb2l,6970,1349,8527,2266,3482,4656,3578,7566.001000000001
ENSMUSG00000000159,Igsf5,0,0,0,0,0,0,0,0
ENSMUSG00000000167,Pih1d2,6,0,0,0,9,0,23,13
ENSMUSG00000000168,Dlat,899,1086,1181.0000000000002,789,1140,1049,826,904
ENSMUSG00000000171,Sdhd,1653,1421,2034,1687,1987,1861,1543,2049
ENSMUSG00000000182,Fgf23,0,0,11,0,0,0,0,0
ENSMUSG00000000183,Fgf6,0,0,0,0,1,0,0,0
ENSMUSG00000000184,Ccnd2,1773.0010000000002,2515,975.9999999999999,1977,2252,1053,2062,1129.0000000000002
ENSMUSG00000000194,Gpr107,804,495,784,824,1135,562,738,687
ENSMUSG00000000197,Nalcn,0,0,0,0,0,0,0,0
ENSMUSG00000000202,Btbd17,0,0,0,0,0,0,0,1
ENSMUSG00000000204,Slfn4,7801,1262,11888.803,1339.0009999999997,3917,8039,10887,7119.837
ENSMUSG00000000214,Th,0,0,0,0,0,0,0,0
ENSMUSG00000000215,Ins2,0,0,0,0,0,0,0,0
ENSMUSG00000000216,Scnn1g,0,0,0,0,0,0,0,0
ENSMUSG00000000223,Drp2,12,0,8,0,34,0,17,7
ENSMUSG00000000244,Tspan32,3133.994,7078,2210,4515,6056.999000000001,3587.999,3446,2301
ENSMUSG00000000247,Lhx2,5,0,0,27,2,0,0,0
ENSMUSG00000000248,Clec2g,0,0,0,0,0,0,6,0
ENSMUSG00000000253,Gmpr,552,1448,378,865,708,758,960,226
ENSMUSG00000000263,Glra1,0,0,0,0,0,0,0,0
ENSMUSG00000000266,Mid2,8,0,0,43,46.214,0,0,14
ENSMUSG00000000275,Trim25,2790,781,2083,1958,984,1191,3496,2388
ENSMUSG00000000276,Dgke,227,66,148,294,304,192,318,157
ENSMUSG00000000278,Scpep1,732,287,620,1023,422,382,664,927
ENSMUSG00000000282,Mnt,1327,199,972,756,438.99999999999994,554,1093,1009
ENSMUSG00000000290,Itgb2,13215,5163,16670.998999999996,7275.999999999999,8139,12635.001000000002,10641,16491
ENSMUSG00000000295,Hddc2,62,137,202,50,139,139,118,112
ENSMUSG00000000296,Tpd52l1,9,0,0,0,0,0,0,0
ENSMUSG00000000301,Pemt,117,273,30,48,202,101,90,68
ENSMUSG00000000303,Cdh1,345,57,299,55,78,62,99,214
ENSMUSG00000000305,Cdh4,0,0,0,0,1,0,0,0
ENSMUSG00000000308,Ckmt1,0,0,0,0,0,0,0,0
ENSMUSG00000000317,Bcl6b,11,0,0,0,0,0,18,2
ENSMUSG00000000318,Clec10a,299.973,88,124,378,120,129,209,335.568
ENSMUSG00000000320,Alox12,5616,8969,2626,7844,4801,1559,8477,1686
ENSMUSG00000000326,Comt,721.847,1167.978,984.5630000000001,751.693,1410,982.018,857.4200000000001,826.2149999999999
ENSMUSG00000000339,Rtca,755,1059,729,800,850,759,673,605
ENSMUSG00000000340,Dbt,189.001,176,130,189,291,202,254,175
ENSMUSG00000000346,Dazap2,7033,4901,7122,5580,5571,6493,5101,8882
ENSMUSG00000000355,Mcts1,392,154,503,105,203,344,467,475.999
ENSMUSG00000000359,Rem1,92,0,0,0,0,0,59,120
ENSMUSG00000000365,Rnf17,24,109,34,7,27,19,52,14
ENSMUSG00000000374,Trappc10,2403.999,2193,1983,2127,2813.0000000000005,2065,2628,2216
ENSMUSG00000000378,Ccm2,1012.999,563,919.999,939,491,318,772,1018
ENSMUSG00000000381,Wap,0,0,0,0,0,0,0,0
ENSMUSG00000000384,Tbrg4,952,719,1200.9989999999998,786,1027,762,772,990.0010000000001
ENSMUSG00000000385,Tmprss2,0,0,0,0,0,0,0,0
ENSMUSG00000000386,NA,457.99999999999994,111,118,236.84799999999998,116,182,316,321
ENSMUSG00000000392,Fap,0,0,28,0,0,0,0,3
ENSMUSG00000000394,Gcg,0,0,0,0,0,0,0,0
ENSMUSG00000000399,Ndufa9,1307,2027,1343,1286,2387,1840,1331,1306
ENSMUSG00000000402,Egfl6,0,0,0,0,0,0,0,5
ENSMUSG00000000409,Lck,46,0,128,116,53,3,62,10
ENSMUSG00000000411,Tssk3,0,0,0,0,0,0,0,0
ENSMUSG00000000416,Cttnbp2,0,0,1,27,0,0,0,0
ENSMUSG00000000420,Galnt1,3947.9999999999995,5400,2885.9999999999995,4462,7496,4754.999,4471.001,3530.6059999999998
ENSMUSG00000000435,Myf5,0,0,0,0,0,0,0,0
ENSMUSG00000000439,Mkrn2,591.736,544.194,369,339.04900000000004,570,429,595,527.065
ENSMUSG00000000440,Pparg,54,86,8,46,10,30,16,81
ENSMUSG00000000441,Raf1,2982.2639999999997,1067.806,2382,2022.951,1818,2071.0000000000005,2296.0000000000005,3566.9350000000004
ENSMUSG00000000486,Septin1,1768.9990000000003,535,2228,1125.999,774,1082.9989999999998,652,1513
ENSMUSG00000000489,Pdgfb,846,1126,278.00000000000006,1219,1143,455,961,418
ENSMUSG00000000530,Acvrl1,1415,319,1567,378,884,1479,1225,2145.999
ENSMUSG00000000531,Tamalin,117,14,109,233,52,141,121,170
ENSMUSG00000000532,Acvr1b,541,468,702,266,337,908,542,446
ENSMUSG00000000538,Tom1l2,505,372,359,262,349,518,356,248.001
ENSMUSG00000000544,Gpa33,0,0,0,0,0,0,0,0
ENSMUSG00000000552,Zfp385a,1632,2056,731,2156,2410,1488,1318,1374.9999999999998
ENSMUSG00000000555,Itga5,699,917,579,1119,919,592,805,603
ENSMUSG00000000560,Gabra2,0,0,2,0,0,0,12,3
ENSMUSG00000000561,Wdr77,827.7199999999999,899.087,1154,844,964.9990000000001,791.088,1027.3290000000002,974.122
ENSMUSG00000000562,Adora3,8,52,22,132,18,16,27,19
ENSMUSG00000000563,Atp5pb,4364,3766.913,4719,4573,4753,5133,3643.0009999999997,4935
ENSMUSG00000000567,Sox9,0,0,0,0,0,0,0,1
ENSMUSG00000000568,Hnrnpd,7035.000000000001,5590.999999999999,8017.999999999999,3958.9990000000003,7963.983000000001,6207.999999999999,4319,5853.006
ENSMUSG00000000579,Dynlt1c,170.108,265.812,313.28499999999997,89.085,71.018,316.615,266.43,148.281
ENSMUSG00000000581,C1d,805.999,1945,740.9999999999999,1001,1623.999,1299.0010000000002,531,769
ENSMUSG00000000594,Gm2a,1860,662,1567,1371,935,937,1773,2643
ENSMUSG00000000600,Krit1,1120.0000000000002,894.001,790.999,991.999,898,1152,953,791.9979999999999
ENSMUSG00000000605,Clcn4,1064,870,787,1245,1112,833,928.0000000000001,894.9999999999999
ENSMUSG00000000606,Vmn2r88,0,0,0,0,0,0,0,0
ENSMUSG00000000617,Grm6,11,100,85,0,0,0,0,11
ENSMUSG00000000627,Sema4f,143,70,201,57,127,91,40,229
ENSMUSG00000000628,Hk2,1529,226,1823,895,928,894,1476,1401
ENSMUSG00000000631,Myo18a,1879.0010000000002,1205,1776,1542,2304.0009999999997,2121.999,1591.0010000000002,2401.0010000000007
ENSMUSG00000000632,Sez6,0,0,0,0,0,0,0,0
ENSMUSG00000000673,Haao,382,65,383,380,181,104,384.99899999999997,462
ENSMUSG00000000682,Cd52,4283,1686,6042,1844,3445,4779,2328,7278
ENSMUSG00000000686,Abhd15,206,40,46,43,52,82,96,178
ENSMUSG00000000690,Hoxb6,0,0,0,0,25,0,0,1
ENSMUSG00000000693,Loxl3,139.09199999999998,205,89,367.115,139,56,281,84
ENSMUSG00000000701,Tcl1b5,0,0,0,0,0,0,0,0
ENSMUSG00000000706,Btn1a1,0,0,0,0,1,0,0,0
ENSMUSG00000000708,Kat2b,944,329,733,476,707,558,691,754
ENSMUSG00000000711,Rab5b,2264,1102,2232,1488,1651,1776,2360,2536
ENSMUSG00000000724,Cryba1,0,0,0,0,0,0,0,0
ENSMUSG00000000730,Dnmt3l,22,0,47,27,0,41,42,25
ENSMUSG00000000731,Aire,0,0,0,0,0,0,0,0
